Date,Preamble,Motion,In Favour,Against,Notes,Result
2014-08-25,"Minutes of Guelph City Council
                    Held in the Council Chambers, Guelph City Hall on
                             Monday August 25, 2014 at 5:30 p.m.

Attendance


Council:     Mayor Farbridge                 Councillor Hofland
             Councillor B. Bell              Councillor G. Kovach
             Councillor T. Dennis            Councillor M. Laidlaw
             Councillor I. Findlay           Councillor L. Piper

             Councillor J. Furfaro           Councillor A. Van Hellemond
             Councillor C. Guthrie           Councillor K. Wettstein

Absent:      Councillor Burcher


Staff:       Mr. M. Amorosi, Executive Director, Corporate & Human Resources
             Mr. D. Thomson, Executive Director, Community & Social Services
             Mr. A. Horsman, Executive Director, Finance & Enterprise
             Ms. J. Laird, Executive Director, Planning & Building, Engineering and Environment

             Mr. D. McCaughan, Executive Director, Operations, Transit & Emergency Services
             Mr. S. O’Brien, City Clerk
             Ms. J. Sweeney, Council Committee Coordinator

Call to Order (5:30 p.m.)


      Mayor Farbridge called the meeting to order.

Authority to Resolve into a Closed Meeting of Council","That the Council of the City of Guelph now hold a meeting that is closed to the public,

      pursuant to Section 239 (2) (b) and (c) of the Municipal Act with respect to personal
      matters about an identifiable individual and proposed or pending acquisition or
      disposition of land.","","","",CARRIED
2014-08-25,"Closed Meeting (5:31 p.m.)

Disclosure of Pecuniary Interest and General NatureThereof


There were no disclosures.

The following matters were considered:

C.2014.42      Disposition of Permanent Easements to Hydro One Networks Inc.


C.2014.43      Report of the Audit Committee – External Auditor Performance Review

Rise from Closed Meeting (5:40 p.m.)
Council recessed.

                                                                                         Page 1                                                          August 25, 2014 Guelph City Council Meeting



Open Meeting (7:00 p.m.)

Mayor Farbridge called the meeting to order.


Disclosure of Pecuniary Interest and General Nature Thereof

Councillor Furfaro disclosed a pecuniary interest regarding the 5 Arthur Street South proposed
zone change because he owns property across the street from the subject property.


Confirmation of Minutes","1. That the minutes of the Council Meetings held on June 18 and August 5, 2014 and
          the minutes of the Closed Meetings of Council held July 28 and August 5, 2014 be
          confirmed as recorded.


      2. That the minutes of the Council Meeting held on July 28, 2014 be amended to reflect
          Councillors Laidlaw and Burcher moving and seconding motion to adopt the minutes.","Farbridge,Bell,Dennis,Findlay,Furfaro,Guthrie,Hofland,Kovach,Laidlaw,Piper,Van Hellemond,Wettstein","","",CARRIED
2014-08-25,"Consent Reports


Audit Committee Fourth Consent Report

Councillor Guthrie presented the Audit Committee Fourth Consent Report.","That the August 25, 2014 Audit Committee Fourth Consent Report as identified below, be

      adopted:

AUD-2014.20         Policy for the Implementation of PS 3260 –Liability for
                    Contaminated Sites


      1. That FIN-14-40 Policy for the Implementation of PS 3260 –Liability for Contaminated
          Sites be received.
      2. That the Contaminated Sites Policy, attached as Appendix 1, to report FIN-14-40, be
          approved.","Farbridge,Bell,Dennis,Findlay,Furfaro,Guthrie,Hofland,Kovach,Laidlaw,Piper,Van Hellemond,Wettstein","","",CARRIED
2014-08-25,"Page 2                                                        August 25, 2014 Guelph City Council Meeting


Corporate Administration, Finance & Enterprise CommitteeSeventh Consent Report

The following items were extracted:

CAFE-2014.34       Enterprise Services – Annual Activity Report

CAFE-2014.36       Municipal Development Corporation Business Case Study Update

Balance of Corporate Administration, Finance & Enterprise Committee Consent Items


Councillor Hofland presented the balance of the Corporate Administration, Finance & Enterprise
Committee Seventh Consent Report.","That the balance of the August 25, 2014 Corporate Administration, Finance & Enterprise
      Committee Seventh Consent Report as identified below, be adopted:


CAFE-2014.35      200 Beverley Street – IMICO Redevelopment Update

      1. That Council receive report # FIN -ED-14-08 titled ‘200 Beverly Street– IMICO –
          Redevelopment Update’; and

      2. That Council direct staff to proceed with the IMICO Phase 2 Marketing Program as

          described in report FIN-ED-14-08; and

      3. That Council approve the transfer of funds in the amount of Forty-Four Thousand, Six
          Hundred and Ten Dollars ($44,610.00) from the DC Exempt Reserve Fund Account

          #156 for the purpose of implementing the IMICO Phase 2 Marketing Program as
          described in report FIN-ED-14-08; and

      4. That Council direct staff to report back to Council on the status of the IMICO Phase 2
          Marketing Program as described in report FIN -ED-14-08 by no later than the end of

          Q1 2015.","Farbridge,Bell,Dennis,Findlay,Furfaro,Guthrie,Hofland,Kovach,Laidlaw,Piper,Van Hellemond,Wettstein","","",CARRIED
2014-08-25,"Planning & Building, Engineering and Environment Committee Sixth Consent Report


The following items were extracted:

PBEE-2014.25       Enbridge Line 9B Application
PBEE-2014.27       Downtown Streetscape Manual, Built Form Standards and St.
                   George’s Square Concept

Balance of Planning & Building, Engineering and Environment Committee Consent
Items

Councillor Bell presented the balance of the Planning & Building, Engineering and Environment
Committee Sixth Consent Report.

                                                                                     Page 3                                                         August 25, 2014 Guelph City Council Meeting","That the balance of the August 25, 2014 Planning & Building, Engineering and
      Environment Committee Sixth Consent Report as identified below, be adopted:


PBEE-2014.26       Rental Housing Licensing Recommended Approach

      1. That Report 14-29 from Planning, Building, Engineering and Environment regarding

          the Rental Housing Licensing Recommended Approach dated August 5, 2014 be
          received.

      2. That Council approve, in principle, the recommended alternative approach to a rental
          housing licensing program described in Report 14-29 from Planning, Building,

          Engineering and Environment dated August 5, 2014.

      3. That the proposed expansion package for one full-time proactive inspector and a
          comprehensive communications and education plan be referred to the 2015 budget

          process.

      4. That staff report back in Q4 in 2015 to demonstrate the effectiveness of the
          alternative approach.


PBEE-2014.29       Sign By-law Variances – 679 Southgate Drive

      1. That the report from Planning, Building, Engineering and Environment dated August
          5, 2014, regarding sign by-law variances for 679 Southgate Drive, be received.


      2. That the request for variances from the Sign By-law for 679 Southgate Drive to
          permit four (4) signs to be located on the second storey of the building (one on each
          building face), be approved.","Farbridge,Bell,Dennis,Findlay,Furfaro,Guthrie,Hofland,Kovach,Laidlaw,Piper,Van Hellemond,Wettstein","","",CARRIED
2014-08-25,"Council Internal Audit Third Consent

The following items were extracted:


IA-2014.6        Learning and Development Audit Report
IA-2014.7        Learning and Development Audit Management’s Response


Council Consent Agenda


The following items were extracted:

CON-2014.45        5 Arthur Street South – Proposed Zoning By-law Amendment (File:

                   ZC1305) – Ward 1

                                                                                     Page 4                                                           August 25, 2014 Guelph City Council Meeting


Balance of Council Consent Items","That balance of the August 25, 2014 Consent Agenda as identified below, be adopted:

CON-2014.39         Disposition of Permanent Easements to Hydro One Networks Inc.


      1. That the report (CHR-2014-54) entitled “Disposition of Permanent Easements to
          Hydro One Networks Inc.”, be received; and

      2. That the City Solicitor be directed to enter into agreements with Hydro One Networks
          Inc. for the grant of easements for the purposes of constructing and maintaining

          electrical equipment on the lands described as:
             i)    Part 1 on Reference Plan 61R-20363
             ii)   Part 1, 2, 3 and 4 on Reference Plan 61R-313
             iii)  Part 1 and 2 on Reference Plan 61R-20389

             iv)   Part 3 and 4 on Reference Plan 61R-20389
             v)    Part 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11 and 12 on Reference Plan 61R-20391
          subject to the terms and conditions of the easement agreements being satisfactory
          to the City Solicitor.


CON-2014.40         Culture and Tourism Department – Advisory Committees

      1. That the August 25, 2014 report entitled “Culture and Tourism Department –
          Advisory Committees”, be received; and


      2. That the Cultural Advisory Committee be dissolved and that the committee members
          be formally thanked for their service; and

      3. That a Public Art Advisory Committee and a Tourism Advisory Committee be

          established.

CON-2104.41        2015 Council and Committee Meeting Schedule

      1. That the 2015 Council and Committee meeting schedule, attached as Attachment 1,

          be approved.

CON-2014.42        2014 Municipal Election – Amendment to Special Voting Provisions

      1. That report CHR-2014-56 dated August 25, 2014 regarding 2014 Municipal Election –

          Amendment to Special Voting Provisions be received.

      2. That the attached by-law, to the report, be brought forward for Council’s enactment.


CON-2104.43        By-laws for The Elliott Long-Term Care Residence

      1. That the by-law to “establish and maintain The Elliott Long-Term Care Residence”
          and the by-law to “delegate authority The Elliott to operate to The Elliott Long-Term
          Care Residence” be approved.


                                                                                         Page 5                                                           August 25, 2014 Guelph City Council Meeting


CON-2104.44        Proposed Demolition of 85 University Avenue West – Ward 5

      1. That Report 14-44 regarding the proposed demolition of a detached dwelling at 85
          University Avenue West, legally described as Plan 583, Lot 6; City of Guelph, from
          Planning, Building, Engineering and Environment dated August 25, 2014, be

          received; and

      2. That the proposed demolition of the detached dwelling at 85 University Avenue West
          be approved; and


      3. That the applicant be requested to erect protective fencing at one (1) metre from the
          dripline of any existing trees on the property or on adjacent properties which can be
          preserved prior to commencement of demolition and maintain fencing during
          demolition and construction of the new dwelling; and


      4. That the applicant be requested to contact the General Manager of Solid Waste
          Resources, within Planning, Building, Engineering and Environment regarding options
          for the salvage or recycling of all demolition materials.


CON-2104.46        Elsegood Court: Proposed Street Name Change, Ward 6

      1. That Elsegood Court, as shown on Attachment 1 of Planning,Building, Engineering
          and Environment Report 14-43 be renamed to Phelan Court; and


      2. That Council enact a By-law authorizing the name change of Elsegood Court to
          Phelan Court.

CON-2014.47        Proposed Demolition of 103 Grange Street West –Ward 1


      1. That Report 14-48 regarding the proposed demolition of a detached dwelling at 103
          Grange Street, legally described as Plan 298, Lot 9, Part Lot 8, 61R4686, Part 2, Part
          3, from Planning, Building, Engineering and Environment dated August 25, 2014, be

          received; and
      2. That the proposed demolition of the detached dwelling at 103 Grange Street be
          approved; and

      3. That the applicant prepare and submit a Tree Inventory, Preservation and

          Compensation Plan in accordance with the Private Tree Protection By-law to the
          satisfaction of the General Manager of Planning Services prior to issuance of a
          demolition permit; and

      4. That the applicant erect any required protective fencing recommended by the Tree

          Inventory, Preservation and Compensation Plan at one (1) metre from the dripline of
          any existing trees on the property or on adjacent properties prior to the
          commencement of demolition and maintain fencing during demolition and
          construction of the new dwelling; and


      5. That the applicant be requested to contact the General Manager of Solid Waste
          Resources, within Planning, Building, Engineering and Environment regarding options
          for the salvage or recycling of all demolition materials.



                                                                                         Page 6                                                          August 25, 2014 Guelph City Council Meeting


CON-2014.48        Issuer of Lottery Licences

      1. That the Council Report # OTES081433, Issuer of Lottery Licences, dated August 25,
          2014, be received; and


      2. That the administration and the issuance of Lottery Licences be delegated to the
          Manager of By-law, Compliance, Security and Licensing as set out in Council Report
          # OTES081433 dated August 25, 2014; and


      3.   That the Delegation By-law amendment (2014)-19792 as set out in Council Report
          #OTES081433 be approved.","Farbridge,Bell,Dennis,Findlay,Furfaro,Guthrie,Hofland,Kovach,Laidlaw,Piper,Van Hellemond,Wettstein","","",CARRIED
2014-08-25,"Extracted Items


CAFE-2014.34       Enterprise Services – Annual Activity Report

Mr. Al Horsman, Executive Director of Finance and Enterprise, introduced Building a City,
Guelph Enterprise Services Annual Review.


Mr. Ian Panabaker, Corporate Manager of Downtown Renewal highlighted the achievements
over the past four years related to downtown renewal.

Mr. Rob Kerr, Corporate Manager of Community Energy, provided an overview of the activities

related to the Community Energy Initiative and the changes made that allows the City to retain
money spent on energy locally.

Mr. Peter Cartwright, General Manager of Economic Development, outlined the economic

development activities and initiatives.

Mr. Lloyd Longfield spoke on behalf of the Guelph Chamber of Commerce and highlighted the
growing connections between the Chamber of Commerce and Enterprise Services relating to
building investment, infrastructure, downtown, relationships, capacity and prosperity.","that allows the City to retain
money spent on energy locally.

Mr. Peter Cartwright, General Manager of Economic Development, outlined the economic

development activities and initiatives.

Mr. Lloyd Longfield spoke on behalf of the Guelph Chamber of Commerce and highlighted the
growing connections between the Chamber of Commerce and Enterprise Services relating to
building investment, infrastructure, downtown, relationships, capacity and prosperity.


6.    Moved by Councillor Hofland
      Seconded by Councillor Furfaro

      1. That report number FIN-ED-14-07 titled, ‘Enterprise Services –Annual Activity

          Report’ be received for information.","Farbridge,Bell,Dennis,Findlay,Furfaro,Guthrie,Hofland,Kovach,Laidlaw,Piper,Van Hellemond,Wettstein","","",CARRIED
2014-08-25,"Page 7                                                           August 25, 2014 Guelph City Council Meeting


CAFE-2104.36        Municipal Development Corporation Business Case Study Update

Laura Murr advised she is not opposed to the formation of a municipal development
corporation, but expressed concern on the type of assets that could be moved into the
corporation. She requested a list of specific assets that could be transferred to the

development corporation be created and only those assets be transferred and if additional
assets not on the list are to be transferred, Council approve the transfer.","that could be moved into the
corporation. She requested a list of specific assets that could be transferred to the

development corporation be created and only those assets be transferred and if additional
assets not on the list are to be transferred, Council approve the transfer.

7.    Moved by Councillor Hofland

      Seconded by Councillor Furfaro

      1. That Council receive report # FIN-ED-14-09 titled ‘Municipal Development Corporation
          Business Case Study Update’; and


      2. That Council approve the business case study attached to Report FIN-ED-14-09; and

      3. That Council directs staff to incorporate a municipal development corporation, as
          described in report # FIN -ED-14-09, with the first director of the corporation to be

          Barry Chuddy, CEO of GMHI.","Farbridge,Bell,Dennis,Findlay,Furfaro,Guthrie,Hofland,Kovach,Laidlaw,Piper,Van Hellemond,Wettstein","","",CARRIED
2014-08-25,"PBEE-2014.27        Downtown Streetscape Manual, Built Form Standards and St.
                    George’s Square Concept


Mr. Todd Salter, General Manager of Planning Services, introduced the report.

Mr. David DeGroot, Urban Designer, provided an overview of the Downtown Streetscape
Manual, Built Form Standards and St. George’s Square Concept. He highlighted the

collaborative engagement process undertaken with the various public stakeholders.

Mr. Steve Baldamus was not present.

Mr. Marty Williams was present on behalf of the Downtown Guelph Business Association, and

thanked staff for the opportunities to comment on the document. He advised the Association is
supportive of the overall plan but have not reached a conclusion of what St. George’s Square
should look like. He suggested there is time to work out the details prior to the final proposal
being presented to Council.","1. That the Planning, Building, Engineering and Environment Report 14-47, regarding

          the Downtown Guelph Downtown Streetscape Manual, Built Form Standards and St.
          George’s Square Concept, dated August 5, 2014, be received.

      2. That the Streetscape Manual (contained in Chapter 2 of Attachment 1) be adopted
          and that staff be directed to use the Streetscape Manual to guide the design of the


                                                                                         Page 8                                                           August 25, 2014 Guelph City Council Meeting


          City’s public realm capital projects and private investments that impact the public
          realm in the Downtown.

      3. That the Downtown Built Form Standards (contained in Chapter 3 ofAttachment 1)
          be adopted and that staff be directed to use the document to guide the review of

          development applications within Downtown.

      4. That Council endorse the vision, principles and general design elements illustrated by
          the Conceptual Design for St. George’s Square (contained in Chapter 4 of Attachment

          1)

      5. That, as individual public realm capital projects begin advancing through the detailed
          design phase prior to construction, such as St. George’s Square and other
          streetscape reconstruction projects, staff continue to engage the public and

          businesses in the design and construction planning process phase; and that staff
          keep council informed regarding refinements and improvements to the design made
          through the detailed design process.


      6. That the cost estimates for the Streetscape Manual and the Conceptual Design for St.
          George’s Square be referred to the 2015 operating and capital budget and 10 year
          capital budgeting process.","","","",DEFERRED
2014-08-25,"","That consideration of the Downtown Streetscape Manual, Built Form Standards and St.

      George’s Square Concept be deferred to the 2014-2018 Council for consideration.","Bell,Furfaro,Guthrie,Kovach,Van Hellemond","Farbridge,Dennis,Findlay,Hofland,Laidlaw,Piper,Wettstein","VOTING AGAINST: Mayor Farbridge, Councillors, Dennis, Findlay, Hofland, Laidlaw, Piper and

Wettstein (7)",DEFEATED
